"","id","gender","nat","lang","age","ip","c_mt","w_id","f_t","t_ini","t_end","trials_n","version","id_p","trial","cond","ex1","ex2","ex3","fep","t_in","t1","t2","t_out","t_in_rep","t1_rep","t2_rep","t_out_rep","rt"
"5199",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,16,"filler_yes","okapi","giraffe","bison","boletus","cow","cerf","alces","jellyfish",1,1,1,0,8041
"5200",286,"M","United","English",1985,"24.27.107.47","YVVM83Z","APB2WO5F0WKDH",0.466667,"13:40:57","13:46:33",22,"amb_A1",286,2,"dist","hamster","cacajao","rat","capincho","rabbit","mouse","squirrel","tiger",1,1,1,0,11883
"5202",270,"M","United","English",1973,"139.67.17.50","K2PABQC","AZG3ZFBPSL91I",0.6,"13:35:40","13:43:01",22,"amb_A1",270,18,"dist","amanite3","morchella","amanite2","phellodon","calocera","amanite1","boletus","jellyfish3",0,1,1,0,9788
"5203",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,19,"fep","pears","pin_sylvestre","peach","cactus3","pachys","apples","horn","cassiopea",0,1,1,0,11693
"5204",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,15,"dist","tiger","salamandre","cat","rhino","elephant","chita","black_bear","jellyfish",0,1,0,0,13835
"5205",284,"M","United","English",1992,"98.220.131.79","LNJ2UC","A25GETDAE14BCV",0.433333,"13:40:39","13:45:25",22,"amb_A1",284,4,"dist","cerf","mouse","oryx","hippopotame","rhino","alces","bison","frog",0,1,1,0,16061
"5208",285,"F","United","English",1981,"99.163.111.154","LTFV9VR","A2D8LCIPXR0JOR",0.616667,"13:40:47","13:51:39",22,"amb_A1",285,1,"filler_yes","felis","snow_lep","red_panda","dog","leopard","panther","potiron","white_bear",1,1,0,1,31171
"5212",270,"M","United","English",1973,"139.67.17.50","K2PABQC","AZG3ZFBPSL91I",0.6,"13:35:40","13:43:01",22,"amb_A1",270,19,"fep","horn","cephalantera","chestnut","cactus3","pachys","bouleau","peach","cypre",1,1,0,1,16126
"5213",284,"M","United","English",1992,"98.220.131.79","LNJ2UC","A25GETDAE14BCV",0.433333,"13:40:39","13:45:25",22,"amb_A1",284,2,"dist","guepe","amblypigy","bee","cricket","libellule2","dauber","moskito","jellyfish3",1,1,1,0,9600
"5214",270,"M","United","English",1973,"139.67.17.50","K2PABQC","AZG3ZFBPSL91I",0.6,"13:35:40","13:43:01",22,"amb_A1",270,20,"filler_no","rouge","swan","perruche","victoria","duck","amblypigy","starfish2","guepe",0,0,0,1,6963
"5219",284,"M","United","English",1992,"98.220.131.79","LNJ2UC","A25GETDAE14BCV",0.433333,"13:40:39","13:45:25",22,"amb_A1",284,3,"filler_fep","perruche","owl","rouge","hypocreopsis","swan","macareux","ara","dindon",1,1,1,0,19588
"5223",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,18,"fep","cow","baboon","capri","hippopotame","rhino","bison","cerf","toad",0,1,1,0,14738
"5224",286,"M","United","English",1985,"24.27.107.47","YVVM83Z","APB2WO5F0WKDH",0.466667,"13:40:57","13:46:33",22,"amb_A1",286,1,"filler_yes","felis","snow_lep","red_panda","dog","leopard","panther","potiron","lycaon",1,0,0,0,15191
"5225",285,"F","United","English",1981,"99.163.111.154","LTFV9VR","A2D8LCIPXR0JOR",0.616667,"13:40:47","13:51:39",22,"amb_A1",285,3,"filler_no","dindon","macareux","mesange","pinguouin","mycena2","colchique","libellule2","amanite3",0,0,0,0,52738
"5227",284,"M","United","English",1992,"98.220.131.79","LNJ2UC","A25GETDAE14BCV",0.433333,"13:40:39","13:45:25",22,"amb_A1",284,5,"dist","tarsier","tortue","gorilla","zebra","elephant","cacajao","mouse","jellyfish",1,1,1,0,8458
